sample_id,group_id,model,dataset,split,correct,error,hallucination,rating,hallucination_types,answer_length,ppl,se,umpire,u_ppl,u_se,u_umpire,uq_percentile_mean,cluster,cluster_profile,is_low_uq_cluster,is_low_uq_hallucination,is_low_uq_hallucination_severe
vilp-0-case1,vilp-0,llava,vilp,test,1,0,1,1,vision_hallucination,1,1.0070494412181838,0.3547896260622846,-4.077381537359949,0.46903153153153154,0.2877252252252252,0.43186936936936937,0.3962087087087087,2,se_low_disagreement,0,0,0
vilp-0-case2,vilp-0,llava,vilp,test,1,0,0,6,,1,1.0130845307989516,0.8785547231746832,-7.10861649170806,0.5242117117117117,0.6762387387387387,0.3766891891891892,0.5257132132132132,1,se_high_disagreement,0,0,0
vilp-0-case3,vilp-0,llava,vilp,test,1,0,1,2,vision_hallucination,1,1.271464108899059,1.3239227181247677,-7.6546036980283025,0.8845720720720721,0.9329954954954955,0.36655405405405406,0.7280405405405405,3,consensus_high,0,0,0
vilp-1-case1,vilp-1,llava,vilp,test,0,1,1,1,reasoning_hallucination,1,1.1636787058751432,0.6658472937383968,5.674544949070187,0.8012387387387387,0.5275900900900901,0.6210585585585585,0.6499624624624625,2,se_low_disagreement,0,0,0
vilp-1-case2,vilp-1,llava,vilp,test,1,0,0,6,,1,1.0004703584311132,1.3558757177817964,-0.5602810720214322,0.1097972972972973,0.9543918918918919,0.49155405405405406,0.5185810810810811,1,se_high_disagreement,0,0,0
vilp-1-case3,vilp-1,llava,vilp,test,0,1,1,1,vision_hallucination,1,1.499079484752644,1.2535850468452592,25.844064638337628,0.9375,0.9037162162162162,0.8856981981981982,0.9089714714714715,3,consensus_high,0,0,0
vilp-2-case1,vilp-2,llava,vilp,test,1,0,0,6,,1,1.0154912451006384,1.0450664397602325,-8.62243660268458,0.5377252252252253,0.8192567567567568,0.34065315315315314,0.5658783783783784,1,se_high_disagreement,0,0,0
vilp-2-case2,vilp-2,llava,vilp,test,1,0,0,6,,1,1.218546215169817,0.6790572203562117,23.297934686153436,0.8429054054054054,0.5884009009009009,0.8643018018018018,0.7652027027027026,3,consensus_high,0,0,0
vilp-2-case3,vilp-2,llava,vilp,test,0,1,1,1,vision_hallucination|reasoning_hallucination,1,1.005098223723132,0.8964944088232023,6.7037954146564545,0.42623873873873874,0.6829954954954955,0.6492117117117117,0.5861486486486487,1,se_high_disagreement,0,0,0
vilp-3-case1,vilp-3,llava,vilp,test,0,1,1,1,vision_hallucination|reasoning_hallucination,1,1.1262799495214113,1.42919408169067,29.52087495878364,0.7753378378378378,0.9667792792792793,0.9206081081081081,0.887575075075075,3,consensus_high,0,0,0
vilp-3-case2,vilp-3,llava,vilp,test,0,1,0,4,,1,1.207697154915889,0.564922297568117,22.309040488468092,0.8327702702702703,0.4769144144144144,0.8530405405405406,0.7209084084084084,3,consensus_high,0,0,0
vilp-3-case3,vilp-3,llava,vilp,test,1,0,0,6,,1,1.1879369107935172,1.3333742142755014,6.096345008212827,0.8170045045045045,0.9420045045045045,0.6368243243243243,0.798611111111111,3,consensus_high,0,0,0
vilp-4-case1,vilp-4,llava,vilp,test,0,1,1,0,vision_hallucination|reasoning_hallucination,1,1.2285370837388714,0.8266056548851173,16.052353318655747,0.848536036036036,0.6503378378378378,0.7798423423423423,0.7595720720720721,3,consensus_high,0,0,0
vilp-4-case2,vilp-4,llava,vilp,test,1,0,1,2,vision_hallucination|reasoning_hallucination,1,1.2536221550643492,0.9965097119235432,45.37541560689054,0.8688063063063063,0.7888513513513513,0.9915540540540541,0.8830705705705705,3,consensus_high,0,0,0
vilp-4-case3,vilp-4,llava,vilp,test,0,1,1,1,vision_hallucination,1,1.3062525293183265,0.760759981161733,16.388197145290803,0.892454954954955,0.6300675675675675,0.785472972972973,0.7693318318318317,3,consensus_high,0,0,0
vilp-5-case1,vilp-5,llava,vilp,test,0,1,1,1,vision_hallucination|reasoning_hallucination,1,1.0048993826700223,0.5096503736681975,-12.549685057057228,0.42173423423423423,0.42511261261261263,0.21227477477477477,0.35304054054054057,0,consensus_low,1,1,1
