model,dataset,sample_id,group,label,correct,era,ppl,se,umpire,attn_image,attn_prompt_text,attn_vision,attn_reasoning,attn_external,attn_internal
llava,hallusionbench,hallusionbench-image-VD-figure-4-0-1,LUH,1,0,0.254595953935983,1.0001182626077052,-0.0,-51.52603969176146,0.3529091307095119,0.3238489627838135,0.08323677097048078,0.1421130129269191,0.6767580934933254,0.2253497838973999
llava,hallusionbench,hallusionbench-image-VD-ocr-2-1-1,LUH,1,1,0.38530706625854555,1.000072481874731,-0.0,-48.981401806731455,0.3147816147123064,0.250720603125436,0.17813730239868164,0.17248407432011195,0.5655022178377425,0.35062137671879356
llava,hallusionbench,hallusionbench-image-VD-figure-4-1-1,LUH,1,1,0.37761828712873774,1.0001373385316352,-0.0,-52.00031416554784,0.31989674057279316,0.24849115099225724,0.14615219831466675,0.19232379538672312,0.5683878915650504,0.33847599370138987
llava,hallusionbench,hallusionbench-image-VD-ocr-18-0-0,LUH,1,1,0.30608840035371143,1.000129708118402,-0.0,-50.523600434014305,0.33459581647600445,0.30105192320687435,0.11861934406416758,0.1579880544117519,0.6356477396828788,0.2766073984759195
llava,hallusionbench,hallusionbench-image-VD-figure-13-1-1,LUH,1,1,0.4126140437099677,1.0000839268615058,-0.0,-47.82532833243585,0.304003717643874,0.23920179052012308,0.2308233029076031,0.14735753355281694,0.543205508163997,0.37818083646042006
llava,hallusionbench,hallusionbench-image-VS-map-4-1-2,LUH,1,1,0.2997970629283233,1.0000686669082455,-0.0,-46.67512473898077,0.3342336075646537,0.30663687842232845,0.0907521801335471,0.18030551501682826,0.6408704859869822,0.27105769515037537
llava,hallusionbench,hallusionbench-image-VD-figure-7-1-1,LUH,1,0,0.2762041845327977,1.0000991870476161,-0.0,-46.163002749956014,0.3636776123728071,0.29911281381334576,0.1019631666796548,0.1470017603465489,0.6627904261861528,0.2489649270262037
llava,hallusionbench,hallusionbench-image-VD-ocr-13-0-0,LUH,1,1,0.31827528358811796,1.0001983839333028,-0.0,-51.213887080446554,0.3353528806141445,0.29050610746656147,0.12798738053866796,0.16039316569055828,0.625858988080706,0.28838054622922626
llava,hallusionbench,hallusionbench-image-VD-ocr-3-0-1,LUH,1,1,0.3382780613930518,1.0000686669082455,-0.0,-44.5583506873976,0.3180355174200875,0.2884678329740252,0.10665243438311986,0.20005507128579275,0.6065033503941126,0.3067075056689126
llava,hallusionbench,hallusionbench-image-VD-ocr-18-0-1,LUH,1,0,0.3644468389866955,1.0001945684865399,-0.0,-47.702174501539034,0.31946563720703125,0.26558457953589304,0.15517323357718332,0.17641852583203999,0.5850502167429243,0.3315917594092233
llava,hallusionbench,hallusionbench-image-VS-map-4-2-2,LUH,1,0,0.2851569276948407,1.0000839268615058,-0.0,-43.911176775289796,0.3382309930665152,0.3147910492760795,0.09200460995946612,0.16520484856196813,0.6530220423425948,0.25720945852143423
llava,hallusionbench,hallusionbench-image-VD-figure-6-1-0,LUH,1,0,0.4498770602407315,1.000257525219357,-0.0,-51.56012834197232,0.29427618639809744,0.21176868677139282,0.1377564711230142,0.2708009055682591,0.5060448731694902,0.4085573766912733
